NAME,P9_001N,P9_002N
Geographic Area Name," !!Total:"," !!Total:!!Hispanic or Latino"
"East Oakdale CDP, California",3201,452
"Easton CDP, California",1972,1330
"East Orosi CDP, California",423,396
"East Palo Alto city, California",30034,19964
"East Pasadena CDP, California",6021,2174
"East Porterville CDP, California",5549,4474
"East Quincy CDP, California",2463,221
"East Rancho Dominguez CDP, California",15114,12857
"East Richmond Heights CDP, California",3460,511
"East San Gabriel CDP, California",22769,6218
"East Shore CDP, California",181,13
"East Sonora CDP, California",2431,231
"East Tulare Villa CDP, California",773,491
"Eastvale city, California",69757,26164
"East Whittier CDP, California",10394,5934
"Edgewood CDP, California",72,12
"Edison CDP, California",255,157
"Edmundson Acres CDP, California",296,231
"Edna CDP, California",184,20
"Edwards AFB CDP, California",2135,421
"El Adobe CDP, California",391,287
"El Cajon city, California",106215,31271
"El Centro city, California",44322,38566
"El Centro Naval Air Facility CDP, California",280,98
"El Cerrito city, California",25962,3075
"El Cerrito CDP, California",5058,2858
"El Dorado Hills CDP, California",50547,5494
"Eldridge CDP, California",1312,550
"Elfin Forest CDP, California",600,63
"El Granada CDP, California",5481,773
"Elizabeth Lake CDP, California",1651,339
"Elk Creek CDP, California",138,8
"Elk Grove city, California",176124,33392
"Elkhorn CDP, California",1588,753
"El Macero CDP, California",1074,89
"Elmira CDP, California",193,60
"El Monte city, California",109450,70819
"El Monte Mobile Village CDP, California",156,148
"El Nido CDP, California",331,264
"El Paso de Robles (Paso Robles) city, California",31490,11958
"El Portal CDP, California",372,36
"El Rancho CDP, California",96,85
"El Rio CDP, California",7037,6249
"El Segundo city, California",17272,2976
"El Sobrante CDP (Contra Costa County), California",15524,4646
"El Sobrante CDP (Riverside County), California",14039,4403
"El Verano CDP, California",3867,1531
"Elverta CDP, California",5435,1090
"Emerald Lake Hills CDP, California",4406,348
"Emeryville city, California",12905,1435
"Empire CDP, California",4202,2541
"Encinitas city, California",62007,9357
"Escalon city, California",7472,2330
"Escondido city, California",151038,78226
"Esparto CDP, California",3572,2038
"Etna city, California",678,39
"Eucalyptus Hills CDP, California",5517,970
"Eureka city, California",26512,4014
"Exeter city, California",10321,5287
"Fairbanks Ranch CDP, California",3002,206
"Fairfax CDP, California",1879,1460
"Fairfax town, California",7605,878
"Fairfield city, California",119881,36723
"Fairhaven CDP, California",165,7
"Fairmead CDP, California",1235,875
"Fair Oaks CDP, California",32514,4128
"Fairview CDP, California",11341,3020
"Fallbrook CDP, California",32267,16040
"Fall River Mills CDP, California",616,84
"Farmersville city, California",10397,9142
"Farmington CDP, California",220,86
"Fellows CDP, California",52,1
"Felton CDP, California",4489,597
"Ferndale city, California",1398,115
"Fetters Hot Springs-Agua Caliente CDP, California",4233,2203
"Fiddletown CDP, California",279,40
"Fieldbrook CDP, California",827,46
"Fields Landing CDP, California",287,47
"Fillmore city, California",16419,12593
"Firebaugh city, California",8096,7486
"Fish Camp CDP, California",49,5
"Florence-Graham CDP, California",61983,56300
"Florin CDP, California",52388,15033
"Floriston CDP, California",80,3
"Flournoy CDP, California",117,22
"Folsom city, California",80454,10503
"Fontana city, California",208393,141269
"Foothill Farms CDP, California",35834,8319
"Forbestown CDP, California",396,45
"Ford City CDP, California",4348,2736
"Foresthill CDP, California",1692,161
"Forest Meadows CDP, California",1276,99
"Forest Ranch CDP, California",1304,108
"Forestville CDP, California",3264,454
"Fort Bidwell CDP, California",180,18
"Fort Bragg city, California",6983,2235
"Fort Dick CDP, California",912,73
"Fort Hunter Liggett CDP, California",250,54
"Fort Irwin CDP, California",8096,2139
"Fort Jones city, California",695,92
"Fortuna city, California",12516,2590
"Fort Washington CDP, California",255,46
"Foster City city, California",33805,2421
"Fountain Valley city, California",57047,8837
"Fowler city, California",6700,4446
"Franklin CDP (Merced County), California",6919,4152
"Franklin CDP (Sacramento County), California",167,48
"Frazier Park CDP, California",2592,681
"Freedom CDP, California",3835,2920
"Freeport CDP, California",58,18
"Fremont city, California",230504,29016
"French Camp CDP, California",3770,2357
"French Gulch CDP, California",373,19
"French Valley CDP, California",35280,10675
"Fresno city, California",542107,273771
"Friant CDP, California",446,82
"Fruitdale CDP, California",989,273
"Fruitridge Pocket CDP, California",6102,2831
"Fuller Acres CDP, California",917,769
"Fullerton city, California",143617,54225
"Fulton CDP, California",551,241
"Furnace Creek CDP, California",136,33
"Galt city, California",25383,11588
"Garberville CDP, California",818,85
"Gardena city, California",61027,24503
"Garden Acres CDP, California",11398,8863
"Garden Farms CDP, California",449,58
"Garden Grove city, California",171949,64102
"Garey CDP, California",72,18
"Garnet CDP, California",7118,5456
"Gasquet CDP, California",657,43
"Gazelle CDP, California",95,7
"Georgetown CDP, California",2255,232
"Gerber CDP, California",1044,582
"Geyserville CDP, California",861,342
"Gilroy city, California",59520,33650
"Glendale city, California",196543,33575
"Glendora city, California",52558,19017
"Glen Ellen CDP, California",714,91
"Glennville CDP, California",158,4
"Golden Hills CDP, California",9578,2332
"Gold Mountain CDP, California",73,2
"Gold River CDP, California",7844,657
"Goleta city, California",32690,11552
"Gonzales city, California",8647,7945
"Good Hope CDP, California",9468,8161
"Goodmanville CDP, California",121,14
"Goodyears Bar CDP, California",69,7
"Goshen CDP, California",4968,3862
"Graeagle CDP, California",724,31
"Grand Terrace city, California",13150,6297
"Grangeville CDP, California",508,171
"Granite Bay CDP, California",21247,1901
"Granite Hills CDP, California",3267,633
"Graniteville CDP, California",1,0
"Grass Valley city, California",14016,1728
"Graton CDP, California",1683,298
"Grayson CDP, California",1041,928
"Greeley Hill CDP, California",927,114
"Greenacres CDP, California",5496,1467
"Green Acres CDP, California",2918,1754
"Greenfield CDP, California",3447,2470
"Greenfield city, California",18937,17804
"Greenhorn CDP, California",247,22
"Green Valley CDP (Los Angeles County), California",1036,183
"Green Valley CDP (Solano County), California",1654,168
"Greenview CDP, California",208,22
"Greenville CDP, California",1026,89
"Grenada CDP, California",314,24
"Gridley city, California",7421,3633
"Grimes CDP, California",296,196
"Grizzly Flats CDP, California",1093,99
"Groveland CDP, California",540,44
"Grover Beach city, California",12701,3979
"Guadalupe city, California",8057,7098
"Guerneville CDP, California",4552,723
"Guinda CDP, California",245,67
"Gustine city, California",6110,3811
"Hacienda Heights CDP, California",54191,24354
"Half Moon Bay city, California",11795,3504
"Hamilton Branch CDP, California",505,36
"Hamilton City CDP, California",2263,1990
"Hanford city, California",57990,30763
"Happy Camp CDP, California",905,73
"Happy Valley CDP, California",4949,539
"Harbison Canyon CDP, California",4048,829
"Hardwick CDP, California",151,118
"Harmony Grove CDP, California",2079,328
"Hartland CDP, California",69,0
"Hartley CDP, California",2430,580
"Hasley Canyon CDP, California",1195,367
"Hat Creek CDP, California",266,30
"Hawaiian Gardens city, California",14149,10858
"Hawthorne city, California",88083,47310
"Hayfork CDP, California",2324,151
"Hayward city, California",162954,67079
"Healdsburg city, California",11340,3925
"Heber CDP, California",6896,6713
"Hemet city, California",89833,40796
"Herald CDP, California",1160,322
"Hercules city, California",26016,4320
"Herlong CDP, California",237,8
"Hermosa Beach city, California",19728,2064
"Hesperia city, California",99818,58648
"Hickman CDP, California",604,219
"Hidden Hills city, California",1725,117
"Hidden Meadows CDP, California",4484,594
"Hidden Valley Lake CDP, California",6235,1097
"Highgrove CDP, California",7515,4482
"Highland city, California",56999,31624
"Highlands CDP, California",2359,149
"Hillcrest CDP, California",10528,8447
"Hillsborough town, California",11387,531
"Hilmar-Irwin CDP, California",5164,1099
"Hiouchi CDP, California",314,16
"Hollister city, California",41678,28727
"Holtville city, California",5605,4763
"Home Garden CDP, California",1653,1210
"Home Gardens CDP, California",11203,8355
"Homeland CDP, California",6772,4452
"Homestead Valley CDP, California",2789,562
"Homewood Canyon CDP, California",40,4
"Honcut CDP, California",306,143
"Hood CDP, California",244,133
"Hoopa CDP, California",3167,130
"Hopland CDP, California",661,236
"Hornbrook CDP, California",266,21
"Hornitos CDP, California",38,7
"Hughson city, California",7481,3367
"Humboldt Hill CDP, California",3498,482
"Huntington Beach city, California",198711,39457
"Huntington Park city, California",54883,52986
